,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,DOB,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,Application Status,age,Vehicle Age
538,17000.0,16811.85,18,F,1997-03-06,STREET VENDOR,10000.0,MC,HONDA,SCOOPY I,2012,BT,28000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,26,11
539,27000.0,26768.36,36,F,1982-09-13,พนักงานบริษัท,16600.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,41,11
540,150000.0,150000.0,60,F,1992-11-01,อื่นๆ,15000.0,PU,TOYOTA,HILUX TIGER,2004,BT,193000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,31,19
541,10000.0,9952.06,12,M,1993-08-09,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2019,DS,43000,S1,2023-01-11,S2,PL,APPLICATION_COMPLETED,30,4
542,26000.0,25853.98,36,F,1994-11-05,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,29,10
543,169000.0,169000.0,60,F,1992-03-02,พนักงานรัฐวิสาหกิจ,13285.0,PU,TOYOTA,HILUX VIGO,2011,ES,241500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,31,12
544,33000.0,33000.0,36,M,1971-02-14,STREET VENDOR,13000.0,MC,YAMAHA,N-MAX 155,2018,DA,51000,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,52,5
545,95000.0,95000.0,36,M,1975-12-09,อื่นๆ,14000.0,CAR,TOYOTA,VIOS,2006,AD,147500,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,48,17
546,26000.0,24712.71,36,F,1983-01-01,ข้าราชการ,30000.0,MC,HONDA,DREAM 110,2011,AF,35000,S1,2023-01-04,S2,PL,APPLICATION_COMPLETED,40,12
548,270000.0,270000.0,60,M,1984-08-18,อื่นๆ,25000.0,PU,MITSUBISHI,TRITON,2015,AD,474500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,8
549,28300.0,28222.83,24,M,1985-03-17,STREET VENDOR,20000.0,CAR,HONDA,CIVIC,1996,AJ,105000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,38,27
550,18000.0,17635.95,24,M,1987-01-13,พนักงานบริษัท,22000.0,MC,HONDA,SCOOPY I,2014,BA,30000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,36,9
552,200000.0,200000.0,60,F,1971-01-24,STREET VENDOR,20000.0,PU,TOYOTA,HILUX VIGO,2011,EN,313000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,52,12
553,140000.0,140000.0,60,M,1986-04-26,อื่นๆ,15000.0,PU,MITSUBISHI,TRITON,2011,BF,258000,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,37,12
554,310000.0,310000.0,60,M,1985-12-12,อื่นๆ,25000.0,VAN,TOYOTA,COMMUTER,2010,ET,482000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,38,13
555,169000.0,169000.0,60,F,1992-03-02,พนักงานรัฐวิสาหกิจ,13285.0,PU,TOYOTA,HILUX VIGO,2011,ES,241500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,31,12
556,28000.0,27804.3,36,M,1994-07-01,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,29,4
557,11000.0,11000.0,24,F,1984-07-29,อื่นๆ,15000.0,MC,YAMAHA,FINO (4DO),2009,AA,17000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,14
558,134000.0,133517.83,60,F,1990-08-13,พนักงานบริษัท,15000.0,CAR,HONDA,CIVIC,2007,AS,207500,S2,2022-11-29,S1,PL,APPLICATION_COMPLETED,33,16
559,33000.0,33000.0,36,F,1981-07-07,STREET VENDOR,20000.0,MC,HONDA,WAVE 110 I,2020,EG,44000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,42,3
560,228000.0,226690.96,60,M,1996-05-07,พนักงานบริษัท,15000.0,CAR,HONDA,CITY,2012,BS,302000,S2,2022-11-09,S1,PL,APPLICATION_COMPLETED,27,11
561,279000.0,279000.0,60,M,1982-09-29,พนักงานบริษัท,30000.0,PU,TOYOTA,HILUX VIGO,2012,GT,347500,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,41,11
562,31200.0,31141.63,18,M,1981-11-13,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,42,4
563,10000.0,9900.47,36,M,1992-03-03,อื่นๆ,12000.0,MC,HONDA,CLICK 110I,2010,AC,18000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,31,13
564,33700.0,33700.0,36,M,1964-06-10,อื่นๆ,13000.0,MC,HONDA,DREAM 110,2016,CB,45000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,59,7
565,15500.0,14351.55,24,M,1972-04-20,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S1,2023-01-10,S2,PL,APPLICATION_COMPLETED,51,12
566,32000.0,31571.58,30,M,1968-12-13,STREET VENDOR,20000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,55,6
567,20000.0,20000.0,36,M,1994-10-04,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 125,2010,BF,30500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,29,13
568,16500.0,16500.0,18,F,1980-03-30,อื่นๆ,19000.0,MC,HONDA,SCOOPY I,2011,AR,24000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,43,12
569,80000.0,80000.0,36,M,1984-03-11,อาจารย์,21000.0,CAR,MITSUBISHI,LANCER,2007,AC,148500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,16
570,14500.0,14500.0,12,M,1976-02-01,อื่นๆ,20000.0,MC,HONDA,ZOOMER X 110I,2013,BF,19500,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,47,10
571,94900.0,94900.0,42,F,1979-01-28,STREET VENDOR,20000.0,MC,YAMAHA,FINO (MLEKE),2009,AH,23000,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,44,14
572,18000.0,18000.0,24,F,1986-08-06,อื่นๆ,9000.0,MC,HONDA,SCOOPY I,2016,CP,32000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,37,7
573,300000.0,300000.0,60,M,1983-10-13,พนักงานบริษัท,15000.0,PU,ISUZU,D-MAX,2019,DB,552000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,40,4
574,38500.0,38500.0,36,M,1971-02-14,STREET VENDOR,13000.0,MC,YAMAHA,N-MAX 155,2018,DA,51000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,52,5
575,38000.0,37257.05,24,F,1993-09-10,พนักงานบริษัท,15000.0,MC,YAMAHA,N-MAX 155,2018,DA,51000,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,30,5
576,8500.0,6977.06,12,M,1991-01-02,อื่นๆ,10000.0,MC,YAMAHA,MIO 115,2010,AO,13000,S1,2023-01-01,S2,PL,APPLICATION_COMPLETED,32,13
577,300000.0,298055.87,60,M,1984-09-10,อื่นๆ,14000.0,PU,ISUZU,D-MAX,2013,CE,475500,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,39,10
578,24300.0,24298.95,36,M,1990-10-26,อื่นๆ,15000.0,CAR,CHEVROLET,AVEO,2007,AE,81000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,33,16
579,27000.0,26768.36,36,M,2000-07-10,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,23,11
580,9000.0,8173.46,24,M,2000-10-11,อื่นๆ,12000.0,MC,BENELLI,TNT 25,2017,AB,31000,S1,2023-01-08,S2,PL,APPLICATION_COMPLETED,23,6
581,30000.0,30000.0,36,F,1970-01-17,STREET VENDOR,20000.0,CAR,TOYOTA,SOLUNA,2002,CO,93500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,53,21
582,190000.0,188712.01,60,M,1979-08-30,พนักงานบริษัท,27006.0,PU,ISUZU,D-MAX,2006,CM,247500,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,44,17
583,24000.0,23735.52,36,F,1970-05-21,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2012,AZ,35000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,53,11
584,29000.0,27930.6,24,M,1976-08-05,พนักงานบริษัท,17000.0,MC,HONDA,CLICK 125I,2018,BA,39000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,47,5
585,34800.0,34800.0,36,F,1992-02-08,พนักงานบริษัท,11850.0,MC,HONDA,SCOOPY I,2020,AJ,47000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,31,3
586,31500.0,30164.97,18,M,1986-12-18,อื่นๆ,36000.0,MC,HONDA,CLICK 125I,2019,BD,42000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,37,4
587,14000.0,13854.61,36,F,1975-03-19,STREET VENDOR,20000.0,MC,HONDA,SCOOPY I,2011,BB,22000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,48,12
588,40000.0,39999.71,36,F,1994-06-06,STREET VENDOR,25000.0,CAR,MITSUBISHI,LANCER,2002,AC,105000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,29,21
589,10000.0,9323.22,36,M,1979-07-22,พนักงานบริษัท,33000.0,MC,HONDA,CLICK 110I,2008,AW,16000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,44,15
590,167600.0,167600.0,60,F,1978-07-08,พนักงานบริษัท,17300.0,CAR,TOYOTA,VIOS,2010,DX,222000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,45,13
591,30000.0,30000.0,36,F,1970-01-17,STREET VENDOR,20000.0,CAR,TOYOTA,SOLUNA,2002,CO,93500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,53,21
592,24000.0,24000.0,24,M,1993-10-24,เกษตรกร,12000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,30,10
595,24800.0,24355.97,36,F,1975-05-04,อื่นๆ,11000.0,MC,HONDA,WAVE 110 I,2012,BE,37000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,48,11
596,9000.0,8290.7,12,F,1970-04-11,STREET VENDOR,20000.0,MC,YAMAHA,SPARK NANO,2011,AE,12000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,53,12
597,28500.0,27353.07,36,F,1961-06-10,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2012,BF,38000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,62,11
598,8600.0,8059.34,12,M,1993-07-28,อื่นๆ,13000.0,MC,YAMAHA,MIO 125,2011,AF,13000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,30,12
599,169000.0,169000.0,60,F,1992-03-02,พนักงานรัฐวิสาหกิจ,13285.0,PU,TOYOTA,HILUX VIGO,2011,ES,241500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,31,12
600,33000.0,33000.0,36,M,1971-02-14,STREET VENDOR,13000.0,MC,YAMAHA,N-MAX 155,2018,DA,51000,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,52,5
601,7000.0,7000.0,12,M,1966-12-01,พนักงานบริษัท,14000.0,MC,HONDA,WAVE 110 I,2015,CM,38000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,57,8
602,26000.0,26000.0,36,F,1965-11-06,STREET VENDOR,18500.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,58,11
603,37500.0,36873.32,36,F,1991-10-21,พนักงานบริษัท,30000.0,MC,YAMAHA,GRAND FILANO 125,2019,AW,50000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,32,4
605,30000.0,30000.0,36,M,1999-12-27,พนักงานบริษัท,11500.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,24,5
607,15500.0,14351.55,24,M,1972-04-20,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S1,2023-01-10,S2,PL,APPLICATION_COMPLETED,51,12
608,29000.0,27573.94,24,F,1983-11-08,STREET VENDOR,17000.0,MC,HONDA,PCX 150,2012,BU,39000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,40,11
609,18000.0,18000.0,36,M,1992-06-22,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2010,AP,31000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,31,13
610,42000.0,42000.0,36,F,1978-05-18,อื่นๆ,20000.0,MC,VESPA,SPRINT 150,2015,AN,60000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,45,8
611,31800.0,31711.72,36,M,1996-09-12,เกษตรกร,20000.0,MC,HONDA,WAVE 125 I,2021,DK,49000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,27,2
613,100000.0,100000.0,60,M,1982-05-13,พนักงานบริษัท,15000.0,CAR,HONDA,JAZZ,2006,AU,165000,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,41,17
614,12000.0,12000.0,12,M,1983-07-01,พนักงานบริษัท,35000.0,CAR,TOYOTA,INNOVA,2009,AV,276500,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,40,14
615,11000.0,11000.0,24,F,1968-03-27,อื่นๆ,15000.0,MC,HONDA,CLICK 110I,2008,AW,16000,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,55,15
616,21500.0,20859.46,36,M,1971-08-19,อื่นๆ,20000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,52,6
617,12000.0,11951.95,12,M,1995-09-08,พนักงานบริษัท,14000.0,MC,YAMAHA,FINO (4DO),2009,AA,17000,S1,2023-01-12,S2,PL,APPLICATION_COMPLETED,28,14
618,250000.0,249834.55,60,M,1984-04-20,เกษตรกร,15000.0,PU,ISUZU,D-MAX,2011,AN,385500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,12
619,30000.0,29718.69,36,F,1984-11-02,เกษตรกร,11000.0,MC,HONDA,WAVE 110 I,2017,CR,40000,S2,2023-01-14,S1,PL,APPLICATION_COMPLETED,39,6
620,310000.0,310000.0,60,M,1985-12-12,อื่นๆ,25000.0,VAN,TOYOTA,COMMUTER,2010,ET,482000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,38,13
621,176000.0,176000.0,60,F,1984-08-30,STREET VENDOR,30000.0,CAR,TOYOTA,VIOS,2011,BE,237500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,12
622,27000.0,27000.0,36,F,1968-10-21,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,55,11
623,100000.0,100000.0,60,M,1982-05-13,พนักงานบริษัท,15000.0,CAR,HONDA,JAZZ,2006,AU,165000,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,41,17
624,240000.0,240000.0,48,F,1987-12-04,อื่นๆ,20000.0,CAR,HONDA,BRIO,2016,CS,328500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,36,7
625,130000.0,130000.0,60,M,1982-12-08,พนักงานบริษัท,17000.0,PU,TOYOTA,HILUX TIGER,2004,BT,193000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,41,19
626,25000.0,25000.0,36,F,1996-09-16,พนักงานบริษัท,16000.0,MC,HONDA,DREAM 110I,2014,CC,42000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,27,9
627,14000.0,14000.0,12,F,1993-12-23,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,30,12
628,31000.0,29000.51,30,M,1985-08-06,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,38,4
630,33000.0,33000.0,24,F,1977-10-22,STREET VENDOR,35000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,46,4
631,28500.0,28236.26,36,F,1981-11-26,อาจารย์,25000.0,MC,HONDA,WAVE 110 I,2012,BF,38000,S1,2023-01-03,S2,PL,APPLICATION_COMPLETED,42,11
632,157000.0,157000.0,60,F,1982-10-26,พนักงานรัฐวิสาหกิจ,24000.0,CAR,TOYOTA,VIOS,2011,FN,242500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,41,12
633,14000.0,13854.61,36,F,1975-03-19,STREET VENDOR,20000.0,MC,HONDA,SCOOPY I,2011,BB,22000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,48,12
634,31000.0,29532.2,24,M,1994-02-20,อื่นๆ,30000.0,MC,HONDA,CLICK 125I,2019,BD,42000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,29,4
635,33500.0,33500.0,36,M,1969-05-18,STREET VENDOR,25000.0,MC,YAMAHA,EXCITER 150,2019,CW,45000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,54,4
636,23000.0,23000.0,24,F,1988-04-14,STREET VENDOR,30000.0,MC,HONDA,CBR 150,2013,AF,30500,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,35,10
637,85000.0,85000.0,60,F,1995-03-29,STREET VENDOR,18000.0,CAR,TOYOTA,VIOS,2004,BA,131500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,28,19
638,250000.0,250000.0,60,F,1978-10-21,อาจารย์,31095.0,CAR,HONDA,JAZZ,2012,BH,313500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,45,11
640,140000.0,140000.0,60,F,1985-05-29,STREET VENDOR,15000.0,PU,ISUZU,D-MAX,2004,BI,185000,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,38,19
641,8600.0,8059.34,12,M,1993-07-28,อื่นๆ,13000.0,MC,YAMAHA,MIO 125,2011,AF,13000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,30,12
642,9000.0,8290.7,12,F,1970-04-11,STREET VENDOR,20000.0,MC,YAMAHA,SPARK NANO,2011,AE,12000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,53,12
643,16500.0,16500.0,18,F,1980-03-30,อื่นๆ,19000.0,MC,HONDA,SCOOPY I,2011,AR,24000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,43,12
644,33000.0,33000.0,36,F,1995-03-18,STREET VENDOR,9000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,28,4
645,200000.0,198124.35,48,M,1987-10-21,พนักงานบริษัท,18000.0,PU,TOYOTA,HILUX VIGO,2010,CR,271000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,36,13
646,29000.0,29000.0,36,F,1976-10-27,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2016,CK,39000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,47,7
647,36500.0,36500.0,36,F,1990-08-02,STREET VENDOR,20000.0,MC,HONDA,PCX 150,2014,CE,48500,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,33,9
648,28800.0,27293.26,12,F,1990-02-24,อื่นๆ,15000.0,MC,HONDA,SCOOPY I,2019,CK,38500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,33,4
649,9000.0,8290.7,12,F,1970-04-11,STREET VENDOR,20000.0,MC,YAMAHA,SPARK NANO,2011,AE,12000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,53,12
650,50000.0,31971.48,12,M,1976-02-19,เกษตรกร,30000.0,PU,MITSUBISHI,TRITON,2013,BD,338000,S1,2023-01-05,S2,PL,APPLICATION_COMPLETED,47,10
652,15800.0,14506.16,18,F,1985-08-26,อื่นๆ,21000.0,MC,HONDA,SCOOPY I,2010,AS,23000,S2,2022-11-09,S1,PL,APPLICATION_COMPLETED,38,13
653,173000.0,173000.0,60,F,1990-12-13,STREET VENDOR,10000.0,CAR,MITSUBISHI,ATTRAGE,2016,AJ,246000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,33,7
654,40000.0,39911.16,36,F,1979-10-13,อื่นๆ,15000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,44,6
655,115000.0,115000.0,60,F,1983-08-27,อื่นๆ,15000.0,MC,HONDA,CBR 300,2017,AW,63000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,40,6
656,7500.0,7416.59,12,M,1980-05-11,พนักงานบริษัท,15000.0,MC,YAMAHA,TTX 115,2012,AJ,10000,S1,2023-01-02,S2,PL,APPLICATION_COMPLETED,43,11
657,150000.0,150000.0,48,F,1990-08-10,STREET VENDOR,20000.0,PU,NISSAN,FRONTIER NAVARA,2008,BG,253500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,33,15
658,190000.0,190000.0,60,M,1989-11-25,พนักงานบริษัท,18000.0,PU,TOYOTA,HILUX VIGO,2013,EF,285500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,34,10
659,149000.0,149000.0,36,M,1986-02-18,พนักงานบริษัท,20000.0,CAR,HONDA,ACCORD,2005,CL,203000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,37,18
660,26000.0,24380.81,30,F,1994-02-06,STREET VENDOR,12000.0,MC,HONDA,WAVE 110 I,2012,AZ,35000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,29,11
661,26000.0,25824.05,36,F,1980-10-14,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2013,CC,35500,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,43,10
662,100000.0,100000.0,48,F,1990-02-17,STREET VENDOR,25000.0,CAR,HONDA,CIVIC,2002,CH,134500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,33,21
663,16500.0,16500.0,12,M,1984-12-10,อื่นๆ,17000.0,MC,HONDA,CLICK 125I,2011,AZ,22000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,39,12
664,28000.0,27838.13,36,F,1984-04-04,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,39,5
665,26500.0,25431.43,24,M,1996-09-23,STREET VENDOR,10000.0,MC,HONDA,WAVE 110 I,2013,CC,35500,S1,2023-01-15,S2,PL,APPLICATION_COMPLETED,27,10
666,23400.0,23400.0,18,M,1963-10-05,อาจารย์,25000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-25,S1,PL,APPLICATION_COMPLETED,60,11
667,24800.0,24800.0,36,F,1993-10-08,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,30,11
668,140000.0,138963.28,60,F,1981-11-28,อื่นๆ,22770.0,CAR,TOYOTA,VIOS,2010,DX,222000,S2,2022-11-03,S1,PL,APPLICATION_COMPLETED,42,13
669,190000.0,190000.0,60,M,1958-05-31,เกษตรกร,30000.0,PU,MITSUBISHI,TRITON,2013,AQ,275000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,65,10
670,190000.0,188712.01,60,M,1979-08-30,พนักงานบริษัท,27006.0,PU,ISUZU,D-MAX,2006,CM,247500,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,44,17
671,210000.0,210000.0,60,M,1970-11-13,อื่นๆ,18000.0,PU,TOYOTA,HILUX VIGO,2007,CR,276000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,53,16
672,33000.0,33000.0,18,M,1979-09-07,STREET VENDOR,25000.0,MC,HONDA,SCOOPY PRESTIGE,2021,BY,44000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,44,2
673,14500.0,14500.0,12,M,1976-02-01,อื่นๆ,20000.0,MC,HONDA,ZOOMER X 110I,2013,BF,19500,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,47,10
674,19000.0,19000.0,36,M,1994-07-11,เกษตรกร,12000.0,CAR,PROTON,SAVVY,2007,AG,63500,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,29,16
675,16000.0,16000.0,36,F,1957-11-26,เกษตรกร,13000.0,MC,HONDA,CLICK 125I,2011,AZ,22000,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,66,12
676,31500.0,29592.61,30,M,1985-04-26,อื่นๆ,25000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2023-01-16,S2,PL,APPLICATION_COMPLETED,38,4
677,12000.0,10952.86,24,M,1971-07-02,อื่นๆ,7000.0,MC,HONDA,WAVE 100,2007,AI,20000,S1,2023-01-14,S2,PL,APPLICATION_COMPLETED,52,16
678,170000.0,170000.0,60,M,1988-02-20,พนักงานบริษัท,14000.0,PU,ISUZU,D-MAX,2005,CE,217000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,35,18
679,27000.0,25974.74,24,M,1975-10-02,STREET VENDOR,30000.0,MC,YAMAHA,M-SLAZ 150,2016,AR,37000,S2,2023-01-14,S1,PL,APPLICATION_COMPLETED,48,7
680,20000.0,18434.0,12,M,1994-01-26,อื่นๆ,15000.0,MC,HONDA,WAVE 110I,2019,DB,34500,S2,2023-01-10,S3,NPL,APPLICATION_COMPLETED,29,4
681,28000.0,26483.19,24,F,1989-12-30,อื่นๆ,15000.0,MC,HONDA,DREAM 110,2015,CC,44000,S2,2022-11-27,S1,NPL,APPLICATION_COMPLETED,34,8
682,70000.0,66449.75,24,M,1978-02-28,พนักงานบริษัท,30000.0,CAR,TOYOTA,COROLLA ALTIS,2005,BJ,153000,S3,2023-01-02,S2,NPL,APPLICATION_COMPLETED,45,18
684,10000.0,9996.01,12,M,1982-05-07,STREET VENDOR,18200.0,MC,HONDA,CLICK 110,2007,AC,14000,S3,2023-01-08,S2,NPL,APPLICATION_COMPLETED,41,16
686,159000.0,159000.0,60,M,1986-05-07,เกษตรกร,20000.0,CAR,TOYOTA,COROLLA ALTIS,2009,DP,211500,S3,2023-01-11,S2,NPL,APPLICATION_COMPLETED,37,14
687,100000.0,97932.23,24,M,1976-09-15,อื่นๆ,25000.0,PU,TOYOTA,HILUX TIGER,2003,BF,163000,S3,2023-01-05,S2,NPL,APPLICATION_COMPLETED,47,20
688,54300.0,54179.92,36,F,1996-02-25,STREET VENDOR,15000.0,MC,YAMAHA,N-MAX 155,2020,BJ,72500,S2,2022-10-19,S1,NPL,APPLICATION_COMPLETED,27,3
689,23000.0,22506.24,24,M,1985-12-22,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S3,2023-01-08,S2,NPL,APPLICATION_COMPLETED,38,10
691,75000.0,65796.25,24,M,1984-10-09,อื่นๆ,13000.0,CAR,TOYOTA,VIOS,2004,FE,116000,S1,2023-01-12,S2,NPL,APPLICATION_COMPLETED,39,19
693,25000.0,24866.29,36,F,1972-01-13,อื่นๆ,20000.0,MC,HONDA,WAVE 110 I,2012,AZ,35000,S2,2022-11-18,S1,NPL,APPLICATION_COMPLETED,51,11
